area,name,employer,url,salary_from,salary_to,currency
Москва,Frontend Developer (Middle),Сампад,https://hh.ru/vacancy/83966191,0,0,Currency not specified
Минск,System Analyst/Системный аналитик,Сампад,https://hh.ru/vacancy/83354072,0,0,Currency not specified
Минск,DevOps/SRE Engineer,Сампад,https://hh.ru/vacancy/84136852,0,0,Currency not specified
Минск,Node.js Developer (Middle/Senior),Сампад,https://hh.ru/vacancy/84384050,0,0,Currency not specified
Минск,Solution Architect/Tech Lead,Сампад,https://hh.ru/vacancy/83448816,0,0,Currency not specified
Нижний Новгород,PHP Developer (Middle/Senior),Сампад,https://hh.ru/vacancy/84314226,0,0,Currency not specified
Москва,PHP Developer (Middle/Senior),Сампад,https://hh.ru/vacancy/83965637,0,0,Currency not specified
Минск,DevOps / site reliability engineer in AWS cloud infrastructure,Билетников Сергей Николаевич,https://hh.ru/vacancy/84168362,2000,0,USD
Минск,"Senior Java Developer for serverless, microservices and legacy",Билетников Сергей Николаевич,https://hh.ru/vacancy/84168460,2000,0,EUR
Минск,Business Development/Sales Manager,Он Зэ Спот Девелопмент,https://hh.ru/vacancy/83998607,0,0,Currency not specified
Минск,AQA Engineer (Python) at 365Scores,Он Зэ Спот Девелопмент,https://hh.ru/vacancy/83352475,0,0,Currency not specified
Минск,Junior Marketing Manager (Gamedev),Elephant Games,https://hh.ru/vacancy/84566579,0,1000,USD
Москва,Marketing Manager (Gamedev),Elephant Games,https://hh.ru/vacancy/84074452,0,0,Currency not specified
Армения,GameDev Project Manager,Elephant Games,https://hh.ru/vacancy/83559601,0,1300,USD
Армения,Junior Marketing Manager (Gamedev),Elephant Games,https://hh.ru/vacancy/83960143,0,1000,USD
Москва,Technical Designer (Unity),Elephant Games,https://hh.ru/vacancy/84566530,0,450,USD
Москва,Mobile Game Developer (hidden object games),Elephant Games,https://hh.ru/vacancy/83811876,0,1000,USD
Армения,DevOps Engineer,Elephant Games,https://hh.ru/vacancy/84021471,0,2000,USD
Москва,Middle 2D Photobash Artist (hidden object),Elephant Games,https://hh.ru/vacancy/84494062,0,700,USD
Москва,2D Photobash Artist (hidden object),Elephant Games,https://hh.ru/vacancy/83264759,0,0,Currency not specified
Армения,Mobile Game Developer (hidden object games),Elephant Games,https://hh.ru/vacancy/83429845,0,0,Currency not specified
Армения,Technical Designer (Unity),Elephant Games,https://hh.ru/vacancy/83999733,0,450,USD
Армения,2D Photobash Artist (hidden object),Elephant Games,https://hh.ru/vacancy/83677460,0,700,USD
